進場方案,進場代碼,進場類型,出場方案,出場代碼,出場類型,樣本數,平均淨報酬%,中位淨報酬%,勝率%,平均已投入資金報酬%,中位已投入資金報酬%,平均持有日,中位持有日,中位MFE%,中位MAE%,中位最大回撤%,獲利虧損比,加滿比例%,平均最大投入比例%,平均買進次數,平均賣出次數,結構風險退出率%,固定到期率%,年度有效年數,年度正中位報酬率%,跨年中位報酬%,最差年度中位報酬%,綜合分數,總排名,可靠度
右側65＋市場改善｜一次買,single_right65,一次買,動態80/90＋結構風險,dynamic80_90,全出,7464,0.418,-1.126,34.93,0.418,-1.126,8.72,6.0,1.03,-1.622,-2.092,2.22,100.0,100.0,1.0,1.0,79.73,0.15,4,0.0,-1.542,-1.693,52.5,20,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,固定60日（不做結構風險）,hold60,持有基準,3756,5.196,-1.869,44.62,4.295,-2.165,61.0,61.0,10.003,-8.346,-16.127,2.313,79.63,92.15,2.77,1.0,0.0,100.0,4,50.0,-2.05,-5.166,52.44,21,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,過熱70後RS回落5＋結構風險,hot70_rs5,全出,6408,0.696,-1.279,31.6,0.696,-1.279,10.74,7.0,1.006,-1.693,-3.139,2.843,100.0,100.0,1.0,1.0,85.02,0.64,4,0.0,-1.778,-1.904,50.25,22,高
右側65＋市場改善｜一次買,single_right65,一次買,過熱70後RS回落5＋結構風險,hot70_rs5,全出,7464,1.014,-1.324,31.93,1.014,-1.324,11.17,7.0,1.054,-1.731,-3.279,3.073,100.0,100.0,1.0,1.0,84.87,0.74,4,0.0,-1.748,-1.895,49.5,23,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,過熱80＋結構風險,heat80,全出,3756,0.534,-1.296,37.73,0.483,-1.593,8.81,6.0,1.656,-2.052,-2.537,1.993,80.09,90.04,1.8,1.0,69.12,0.19,4,0.0,-1.603,-1.715,49.5,23,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,分層獲利管理＋結構風險,tiered,分批出場,3756,1.028,-1.394,36.21,0.991,-1.748,14.08,9.0,1.827,-2.107,-3.984,2.449,79.77,89.88,1.8,1.54,84.13,1.3,4,0.0,-1.721,-1.875,49.31,25,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,動態70/90＋結構風險,dynamic70_90,全出,3756,0.545,-1.314,37.49,0.497,-1.633,8.97,6.0,1.674,-2.066,-2.598,2.015,79.85,89.92,1.8,1.0,70.21,0.13,4,0.0,-1.623,-1.691,49.12,26,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,動態80/90＋結構風險,dynamic80_90,全出,3756,0.589,-1.373,36.85,0.539,-1.71,9.26,7.0,1.735,-2.113,-2.754,2.096,80.17,90.08,1.8,1.0,71.59,0.19,4,0.0,-1.704,-1.775,46.88,27,高
右側65＋市場改善｜一次買,single_right65,一次買,只做結構風險退出,protective,風險基準,7464,1.196,-1.413,30.12,1.196,-1.413,13.04,8.0,1.07,-1.832,-3.609,3.477,100.0,100.0,1.0,1.0,98.73,1.27,4,0.0,-1.933,-2.042,45.75,28,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,只做結構風險退出,protective,風險基準,6408,0.829,-1.394,29.85,0.829,-1.394,12.6,8.0,1.013,-1.782,-3.43,3.192,100.0,100.0,1.0,1.0,98.91,1.09,4,0.0,-1.921,-2.065,44.06,29,高
