進場群組,策略,策略代碼,類型,樣本數,觸發樣本數,未觸發樣本數,有效觸發率%,平均報酬%,中位報酬%,勝率%,平均持有日,中位持有日,平均峰值捕捉率%,中位峰值捕捉率%,平均高點回吐%,中位高點回吐%,平均MAE%,平均出場後5日%,平均出場後10日%,觸發_平均報酬%,觸發_中位報酬%,觸發_勝率%,觸發_平均持有日,觸發_中位持有日,觸發_平均峰值捕捉率%,觸發_中位峰值捕捉率%,觸發_平均高點回吐%,觸發_中位高點回吐%,觸發_平均MAE%,觸發_平均出場後5日%,觸發_平均出場後10日%,未觸發_平均報酬%,未觸發_中位報酬%,未觸發_勝率%,未觸發_平均持有日,未觸發_中位持有日,未觸發_平均峰值捕捉率%,未觸發_中位峰值捕捉率%,未觸發_平均高點回吐%,未觸發_中位高點回吐%,未觸發_平均MAE%,未觸發_平均出場後5日%,未觸發_平均出場後10日%,政策分數,訊號分數,綜合分數,群組排名,是否進入綜合排名,可靠度,年度有效年數,年度正中位報酬年數,年度正報酬率%,跨年中位報酬%,最差年度中位報酬%,最佳年度中位報酬%,最低年度觸發率%,年度穩定分數
新進+RS85+未過熱,月線乖離≥8%,bias8,過熱,5154,3934,1220,76.33,1.667,5.324,67.13,26.81,19.0,-37.04,16.01,29.113,18.444,-11.31,0.373,1.268,6.692,7.761,84.93,16.52,11.0,11.52,24.78,32.14,18.873,-8.347,0.483,1.621,-14.539,-13.659,9.75,60.0,60.0,-202.53,-300.0,19.353,17.669,-20.863,0.019,0.127,64.32,61.59,68.44,6.0,是,高,4,4,100.0,7.877,6.952,8.108,71.13,100.0
新進+RS85+未過熱,鴨嘴正式失效,duck_exit,鴨嘴,5154,5151,3,99.94,0.774,-0.928,36.57,4.52,2.0,-26.3,-3.45,30.006,17.208,-3.34,0.343,1.064,0.693,-0.929,36.54,4.49,2.0,-26.36,-3.48,30.001,17.207,-3.342,0.347,1.062,139.488,109.677,100.0,60.0,60.0,81.48,78.05,39.035,51.613,-0.365,-5.589,4.545,47.5,55.68,44.06,13.0,是,高,4,0,0.0,-0.991,-1.163,-0.802,99.85,0.0
新進且可交易,RS自持有高點回落5,rs_drop5,RS,34128,31391,2737,91.98,2.015,-0.683,42.64,17.72,11.0,-41.44,-3.7,20.875,11.908,-5.421,0.29,0.638,0.041,-0.845,40.67,14.04,10.0,-44.09,-5.0,20.854,11.655,-4.954,0.276,0.599,24.647,10.914,65.22,60.0,60.0,-11.39,45.22,21.116,16.038,-10.777,0.452,1.087,41.93,52.95,40.6,15.0,是,高,4,0,0.0,-1.114,-1.664,-0.157,90.4,0.0
新進且可交易,RS自持有高點回落10,rs_drop10,RS,34128,26269,7859,76.97,3.151,-0.932,43.84,31.0,26.0,-49.63,-5.13,19.739,12.372,-7.317,0.332,0.648,-1.082,-1.75,37.31,22.32,19.0,-61.98,-12.94,20.781,12.63,-6.812,0.289,0.524,17.301,7.021,65.67,60.0,60.0,-8.89,43.96,16.256,11.245,-9.007,0.475,1.069,41.82,42.73,35.96,18.0,是,高,4,0,0.0,-2.22,-3.071,-0.465,75.38,0.0
新進且可交易,RS曾≥85後跌破85,rs_cross85,RS,34128,7081,27047,20.75,4.486,-0.426,47.96,52.84,60.0,-53.15,0.0,18.404,12.687,-10.306,0.311,0.71,7.01,1.767,56.31,25.5,23.0,-24.26,9.02,33.771,18.227,-8.007,0.439,0.933,3.825,-1.019,45.78,60.0,60.0,-60.82,-7.5,14.381,11.517,-10.908,0.278,0.651,55.34,31.82,47.71,,否,需擴充樣本,4,3,75.0,2.192,0.0,11.396,18.76,75.0
新進且可交易,跌破MA20,below_ma20,價格,34128,33987,141,99.59,1.168,-1.195,30.42,9.82,6.0,-36.01,-8.24,21.722,11.637,-3.208,0.374,0.616,0.835,-1.21,30.13,9.61,6.0,-36.53,-8.33,21.77,11.667,-3.215,0.371,0.606,81.513,48.068,100.0,60.0,60.0,87.18,87.38,10.08,6.136,-1.394,1.185,3.088,36.59,48.3,36.37,17.0,是,高,4,0,0.0,-1.445,-1.485,-0.815,99.38,0.0
新進且可交易,跌破MA60,below_ma60,價格,34128,29613,4515,86.77,2.854,-2.439,29.92,25.39,20.0,-54.1,-19.72,20.036,12.671,-5.287,0.155,0.456,-2.7,-3.169,19.28,20.11,16.0,-73.9,-30.15,20.902,13.182,-5.673,0.12,0.385,39.283,25.267,99.71,60.0,60.0,71.84,73.57,14.359,8.349,-2.755,0.384,0.919,37.05,40.0,32.82,19.0,是,高,4,0,0.0,-3.308,-3.836,-2.457,82.05,0.0
新進且可交易,右側曾≥70後跌破70,right_cross70,右側,34128,30504,3624,89.38,1.343,0.0,48.26,16.66,8.0,-30.38,0.0,21.547,11.748,-5.219,0.216,0.662,2.644,0.328,52.84,11.51,7.0,-11.23,2.17,22.313,11.454,-3.618,0.218,0.698,-9.602,-10.605,9.69,60.0,60.0,-215.31,-300.0,15.095,13.553,-18.694,0.196,0.358,51.7,54.32,56.37,11.0,是,高,4,3,75.0,0.339,0.0,0.575,87.2,75.0
新進且可交易,右側曾≥60後跌破60,right_cross60,右側,34128,32613,1515,95.56,1.092,-0.485,41.09,11.77,6.0,-30.43,-2.45,21.798,11.583,-4.037,0.25,0.586,1.564,-0.369,42.54,9.53,6.0,-23.15,-1.8,22.137,11.489,-3.324,0.25,0.602,-9.071,-11.436,9.9,60.0,60.0,-226.02,-300.0,14.501,13.165,-19.396,0.251,0.26,50.68,59.55,47.07,12.0,是,高,4,0,0.0,-0.453,-0.635,0.0,94.34,0.0
新進且可交易,右側曾≥50後跌破50,right_cross50,右側,34128,33327,801,97.65,0.968,-0.593,39.46,10.1,5.0,-30.7,-3.27,21.922,11.538,-3.744,0.273,0.62,1.201,-0.527,40.19,8.9,5.0,-26.9,-2.92,22.078,11.454,-3.34,0.27,0.626,-8.718,-12.5,9.24,60.0,60.0,-238.55,-300.0,15.444,14.041,-20.558,0.381,0.358,46.14,55.45,43.41,13.0,是,高,4,0,0.0,-0.639,-0.808,-0.265,96.77,0.0
新進且可交易,MA20-MA60開口轉縮,spread_down,均線,34128,34113,15,99.96,0.744,-0.656,37.22,7.76,4.0,-30.37,-3.75,22.146,11.409,-3.144,0.253,0.641,0.682,-0.658,37.19,7.73,4.0,-30.42,-3.77,22.152,11.412,-3.145,0.251,0.639,142.481,106.542,100.0,60.0,60.0,90.63,89.44,7.705,7.229,-0.988,5.112,5.655,38.64,49.32,37.65,16.0,是,高,4,0,0.0,-0.865,-0.962,-0.336,99.94,0.0
新進且可交易,MA60轉下,ma60_down,均線,34128,26283,7845,77.01,3.388,-1.719,34.26,28.58,24.0,-49.37,-13.56,19.502,12.395,-6.081,0.267,0.656,-4.387,-3.207,15.05,19.21,14.0,-82.78,-34.09,20.068,12.744,-6.878,0.207,0.56,29.435,16.854,98.61,60.0,60.0,58.82,62.3,17.606,10.968,-3.412,0.467,0.981,36.82,37.05,31.4,20.0,是,高,4,0,0.0,-3.368,-3.777,-2.537,70.69,0.0
新進且可交易,MA20轉下,ma20_down,均線,34128,33657,471,98.62,1.482,-1.22,33.56,13.47,9.0,-39.39,-8.33,21.408,11.783,-3.988,0.349,0.668,0.595,-1.272,32.63,12.82,8.0,-41.14,-8.82,21.529,11.847,-4.016,0.349,0.658,64.833,40.65,100.0,60.0,60.0,82.32,84.63,12.737,6.683,-2.004,0.4,1.377,30.23,42.5,31.22,21.0,是,高,4,0,0.0,-1.542,-1.754,-0.772,98.12,0.0
新進且可交易,固定持有20日,hold20,基準,34128,34128,0,100.0,1.65,-0.377,46.86,20.0,20.0,-47.26,-0.96,21.24,12.5,-6.803,0.197,0.561,1.65,-0.377,46.86,20.0,20.0,-47.26,-0.96,21.24,12.5,-6.803,0.197,0.561,,,,,,,,,,,,,,,,,否,高,4,1,25.0,-0.355,-1.618,0.462,100.0,25.0
新進且可交易,固定持有40日,hold40,基準,34128,34128,0,100.0,3.34,-0.474,47.3,40.0,40.0,-56.63,-1.49,19.55,13.59,-9.602,0.371,0.798,3.34,-0.474,47.3,40.0,40.0,-56.63,-1.49,19.55,13.59,-9.602,0.371,0.798,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.212,-2.885,0.962,100.0,50.0
新進且可交易,固定持有60日,hold60,基準,34128,34128,0,100.0,5.287,-0.5,47.93,60.0,60.0,-54.84,-0.47,17.604,12.712,-11.318,0.308,0.659,5.287,-0.5,47.93,60.0,60.0,-54.84,-0.47,17.604,12.712,-11.318,0.308,0.659,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.334,-3.408,1.923,100.0,50.0
新進且可交易,過熱70後RS回落5,hot70_rs5,組合,34128,14071,20057,41.23,3.662,1.155,53.63,46.13,60.0,-50.25,9.62,19.228,12.445,-9.826,0.315,0.683,8.899,7.458,81.43,26.36,24.0,21.09,29.69,28.372,16.32,-6.02,0.484,0.955,-0.012,-3.75,34.12,60.0,60.0,-102.43,-69.46,12.814,10.138,-12.496,0.196,0.491,69.55,61.59,70.54,4.0,是,高,4,4,100.0,7.627,6.272,8.091,35.81,100.0
新進且可交易,過熱70後至少2項轉弱,hot70_2weak,組合,34128,15487,18641,45.38,3.207,0.903,53.21,44.84,60.0,-51.02,7.48,19.683,12.895,-9.474,0.396,0.88,10.953,6.215,79.51,26.6,24.0,18.66,24.32,29.807,17.647,-5.599,0.64,1.373,-3.228,-4.213,31.36,60.0,60.0,-111.54,-86.96,11.272,9.446,-12.693,0.193,0.468,60.0,51.59,62.22,7.0,是,高,4,4,100.0,6.475,4.938,6.796,41.44,100.0
新進且可交易,過熱70後開口轉縮,hot70_spread,組合,34128,14722,19406,43.14,3.36,0.716,52.46,45.83,60.0,-51.3,6.48,19.53,12.919,-9.558,0.388,0.899,11.424,6.425,78.62,27.15,25.0,19.86,24.66,30.161,18.068,-5.219,0.642,1.456,-2.757,-3.976,32.61,60.0,60.0,-107.76,-79.17,11.465,9.593,-12.851,0.195,0.474,56.82,51.14,60.74,8.0,是,高,4,4,100.0,6.569,5.333,7.489,38.41,100.0
新進且可交易,過熱70後跌破MA20,hot70_below_ma20,組合,34128,14857,19271,43.53,3.462,0.352,51.06,46.47,60.0,-52.72,4.39,19.429,13.33,-9.547,0.453,0.861,10.601,5.417,74.69,28.91,27.0,14.59,21.69,30.05,18.681,-5.418,0.798,1.359,-2.043,-3.952,32.84,60.0,60.0,-106.98,-79.37,11.24,9.394,-12.73,0.187,0.475,57.95,47.73,59.66,9.0,是,高,4,4,100.0,5.597,4.167,6.134,39.69,100.0
新進且可交易,過熱70後MA20轉下,hot70_ma20,組合,34128,13785,20343,40.39,3.845,0.0,49.2,48.6,60.0,-53.17,1.48,19.045,13.397,-9.708,0.46,0.819,9.348,4.831,68.76,31.78,31.0,10.65,19.32,29.988,19.244,-5.648,0.823,1.257,0.116,-3.333,35.94,60.0,60.0,-98.29,-62.5,11.63,9.601,-12.46,0.213,0.521,55.91,46.14,58.13,10.0,是,高,4,4,100.0,4.716,3.728,5.707,36.78,100.0
新進且可交易,過熱分數≥70,heat70,過熱,34128,17176,16952,50.33,2.106,3.813,60.1,39.21,59.0,-43.32,17.73,20.784,11.389,-9.271,0.254,0.784,10.472,10.118,94.77,18.68,13.0,38.07,38.66,29.848,14.634,-5.599,0.359,1.165,-6.371,-5.233,24.96,60.0,60.0,-129.9,-119.05,11.6,9.816,-12.991,0.147,0.396,72.73,64.09,72.93,1.0,是,高,4,4,100.0,10.193,9.605,10.377,45.64,100.0
新進且可交易,過熱分數≥80,heat80,過熱,34128,15286,18842,44.79,2.327,3.51,58.44,41.66,60.0,-45.42,17.36,20.563,11.485,-9.574,0.262,0.76,12.51,11.71,97.23,19.06,14.0,43.88,42.45,31.294,15.066,-5.211,0.385,1.178,-5.935,-4.969,26.98,60.0,60.0,-121.37,-100.0,11.857,10.05,-13.113,0.162,0.419,69.32,64.77,71.87,2.0,是,高,4,4,100.0,11.847,11.171,11.935,39.75,100.0
新進且可交易,月線乖離≥8%,bias8,過熱,34128,18965,15163,55.57,2.043,3.573,60.4,37.84,48.0,-41.71,17.05,20.847,11.305,-9.137,0.245,0.755,8.482,8.929,87.94,20.13,15.0,23.65,33.79,28.552,14.223,-6.864,0.32,1.046,-6.009,-4.95,25.96,60.0,60.0,-127.13,-114.05,11.209,9.416,-11.981,0.151,0.388,70.68,61.59,70.99,3.0,是,高,4,4,100.0,8.92,7.514,9.693,53.68,100.0
新進且可交易,過熱分數≥85,heat85,過熱,34128,14000,20128,41.02,2.481,2.971,56.98,43.49,60.0,-46.93,16.47,20.409,11.538,-9.811,0.235,0.772,13.986,13.043,97.66,19.76,15.0,46.12,44.37,32.53,15.658,-5.258,0.329,1.271,-5.521,-4.64,28.68,60.0,60.0,-114.61,-87.14,11.978,10.169,-12.978,0.169,0.422,65.0,64.09,69.84,5.0,是,高,4,4,100.0,13.165,12.353,13.529,36.18,100.0
新進且可交易,過熱分數≥90,heat90,過熱,34128,12848,21280,37.65,2.64,2.433,55.75,45.13,60.0,-48.19,15.88,20.25,11.64,-10.017,0.317,0.81,15.423,14.393,97.78,20.51,16.0,47.27,45.69,33.794,16.424,-5.397,0.549,1.415,-5.078,-4.348,30.38,60.0,60.0,-108.31,-76.47,12.073,10.283,-12.807,0.176,0.442,61.14,57.29,65.24,6.0,是,中,4,4,100.0,14.473,13.825,15.074,32.98,100.0
新進且可交易,鴨嘴正式失效,duck_exit,鴨嘴,34128,34117,11,99.97,0.668,-0.632,35.07,5.46,2.0,-25.6,-3.7,22.222,11.185,-2.502,0.226,0.608,0.617,-0.632,35.04,5.45,2.0,-25.64,-3.72,22.227,11.189,-2.503,0.224,0.606,160.485,108.946,100.0,60.0,60.0,90.83,89.44,7.767,5.607,-1.179,6.086,8.986,43.98,53.07,41.47,14.0,是,高,4,0,0.0,-0.802,-0.838,-0.372,99.96,0.0
