進場群組,策略,策略代碼,類型,樣本數,觸發樣本數,未觸發樣本數,有效觸發率%,平均報酬%,中位報酬%,勝率%,平均持有日,中位持有日,平均峰值捕捉率%,中位峰值捕捉率%,平均高點回吐%,中位高點回吐%,平均MAE%,平均出場後5日%,平均出場後10日%,觸發_平均報酬%,觸發_中位報酬%,觸發_勝率%,觸發_平均持有日,觸發_中位持有日,觸發_平均峰值捕捉率%,觸發_中位峰值捕捉率%,觸發_平均高點回吐%,觸發_中位高點回吐%,觸發_平均MAE%,觸發_平均出場後5日%,觸發_平均出場後10日%,未觸發_平均報酬%,未觸發_中位報酬%,未觸發_勝率%,未觸發_平均持有日,未觸發_中位持有日,未觸發_平均峰值捕捉率%,未觸發_中位峰值捕捉率%,未觸發_平均高點回吐%,未觸發_中位高點回吐%,未觸發_平均MAE%,未觸發_平均出場後5日%,未觸發_平均出場後10日%,政策分數,訊號分數,綜合分數,群組排名,是否進入綜合排名,可靠度,年度有效年數,年度正中位報酬年數,年度正報酬率%,跨年中位報酬%,最差年度中位報酬%,最佳年度中位報酬%,最低年度觸發率%,年度穩定分數
全部鴨嘴新進,MA20轉下,ma20_down,均線,42056,41441,615,98.54,1.967,-1.37,34.12,14.88,11.0,-42.47,-9.09,23.705,13.701,-4.911,0.391,0.754,0.801,-1.436,33.14,14.22,10.0,-44.38,-9.7,23.817,13.747,-4.942,0.39,0.742,80.496,54.412,100.0,60.0,60.0,82.4,84.72,16.131,8.379,-2.827,0.45,1.59,32.27,44.77,33.05,20.0,是,高,4,0,0.0,-1.773,-1.935,-0.881,97.92,0.0
全部鴨嘴新進,固定持有20日,hold20,基準,42056,42056,0,100.0,2.035,-0.484,46.57,20.0,20.0,-48.18,-1.61,23.637,13.846,-7.481,0.25,0.669,2.035,-0.484,46.57,20.0,20.0,-48.18,-1.61,23.637,13.846,-7.481,0.25,0.669,,,,,,,,,,,,,,,,,否,高,4,1,25.0,-0.45,-1.619,0.315,100.0,25.0
全部鴨嘴新進,固定持有40日,hold40,基準,42056,42056,0,100.0,3.855,-0.615,47.05,40.0,40.0,-57.56,-2.22,21.816,15.026,-10.403,0.356,0.784,3.855,-0.615,47.05,40.0,40.0,-57.56,-2.22,21.816,15.026,-10.403,0.356,0.784,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.393,-3.042,1.24,100.0,50.0
全部鴨嘴新進,固定持有60日,hold60,基準,42056,42056,0,100.0,5.822,-0.665,47.63,60.0,60.0,-56.05,-1.77,19.849,14.107,-12.238,0.224,0.594,5.822,-0.665,47.63,60.0,60.0,-56.05,-1.77,19.849,14.107,-12.238,0.224,0.594,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.405,-3.444,1.778,100.0,50.0
全部鴨嘴新進,過熱70後RS回落5,hot70_rs5,組合,42056,19714,22342,46.88,3.967,0.68,51.96,42.93,60.0,-49.95,6.06,21.705,13.652,-9.945,0.291,0.714,6.385,5.288,70.22,23.58,20.0,3.16,20.9,30.293,17.263,-6.702,0.411,0.959,1.833,-3.585,35.84,60.0,60.0,-98.65,-61.54,14.127,10.811,-12.806,0.184,0.495,73.18,61.59,71.99,2.0,是,高,4,4,100.0,5.155,3.817,6.429,42.71,100.0
全部鴨嘴新進,過熱70後開口轉縮,hot70_spread,組合,42056,21745,20311,51.7,3.549,0.303,50.73,41.46,55.0,-50.85,3.42,22.122,14.154,-9.539,0.412,0.981,9.705,4.555,68.26,24.14,21.0,2.77,17.07,31.862,18.942,-6.122,0.625,1.449,-3.041,-4.217,31.96,60.0,60.0,-110.89,-85.0,11.696,9.792,-13.198,0.183,0.477,57.27,52.27,61.43,7.0,是,高,4,4,100.0,4.699,3.468,5.234,48.6,100.0
全部鴨嘴新進,過熱70後至少2項轉弱,hot70_2weak,組合,42056,22578,19478,53.69,3.326,0.35,50.96,40.22,51.0,-50.51,3.55,22.345,14.077,-9.325,0.464,0.986,9.238,4.361,68.45,23.16,20.0,2.48,16.89,31.704,18.567,-6.137,0.704,1.424,-3.527,-4.444,30.69,60.0,60.0,-114.73,-93.33,11.498,9.655,-13.019,0.184,0.474,56.59,52.5,61.26,8.0,是,高,4,4,100.0,4.485,3.0,5.102,51.23,100.0
全部鴨嘴新進,過熱70後MA20轉下,hot70_ma20,組合,42056,20626,21430,49.04,3.99,-0.498,47.54,44.82,60.0,-53.49,-0.83,21.682,14.8,-9.833,0.486,0.896,7.414,2.774,59.8,29.06,26.0,-7.18,11.11,31.8,20.127,-6.795,0.777,1.269,0.694,-3.494,35.74,60.0,60.0,-99.96,-66.12,11.943,9.813,-12.757,0.206,0.536,55.23,47.05,58.26,9.0,是,高,4,4,100.0,2.498,1.697,4.098,46.57,100.0
全部鴨嘴新進,過熱70後跌破MA20,hot70_below_ma20,組合,42056,21869,20187,52.0,3.441,-0.152,48.96,42.1,55.0,-52.69,0.71,22.23,14.621,-9.473,0.537,0.982,8.558,3.503,64.32,25.57,22.0,-2.31,14.36,32.147,19.438,-6.164,0.869,1.442,-2.102,-4.158,32.31,60.0,60.0,-109.74,-84.62,11.487,9.603,-13.058,0.175,0.481,53.64,46.14,57.22,10.0,是,高,4,4,100.0,3.367,2.284,4.508,49.6,100.0
全部鴨嘴新進,過熱分數≥80,heat80,過熱,42056,22186,19870,52.75,2.064,2.609,58.71,35.99,51.0,-40.98,12.73,23.607,12.363,-8.966,0.277,0.881,9.57,9.375,87.93,14.49,7.0,31.31,31.65,33.873,16.324,-4.895,0.392,1.3,-6.316,-5.306,26.08,60.0,60.0,-125.65,-109.52,12.145,10.34,-13.512,0.148,0.41,72.39,65.0,73.21,1.0,是,高,4,4,100.0,9.222,8.252,10.0,49.29,100.0
