進場方案,進場代碼,出場方案,出場代碼,年度,樣本數,平均淨報酬%,中位淨報酬%,勝率%,中位最大回撤%
正式鴨嘴新進＋市場改善｜一次買,single_duck,動態80/90＋結構風險,dynamic80_90,2025,854,-0.689,-1.726,29.27,-2.537
正式鴨嘴新進＋市場改善｜一次買,single_duck,動態80/90＋結構風險,dynamic80_90,2026,584,0.049,-1.784,29.45,-1.861
正式鴨嘴新進＋市場改善｜一次買,single_duck,只做結構風險退出,protective,2023,3128,1.357,-0.936,34.94,-3.277
正式鴨嘴新進＋市場改善｜一次買,single_duck,只做結構風險退出,protective,2024,1842,0.055,-1.828,25.3,-3.533
正式鴨嘴新進＋市場改善｜一次買,single_duck,只做結構風險退出,protective,2025,854,-0.3,-2.015,24.47,-3.857
正式鴨嘴新進＋市場改善｜一次買,single_duck,只做結構風險退出,protective,2026,584,2.09,-2.065,24.83,-3.715
正式鴨嘴新進＋市場改善｜一次買,single_duck,固定60日（不做結構風險）,hold60,2023,3128,6.667,1.847,56.97,-11.303
正式鴨嘴新進＋市場改善｜一次買,single_duck,固定60日（不做結構風險）,hold60,2024,1842,1.92,-3.292,39.9,-16.884
正式鴨嘴新進＋市場改善｜一次買,single_duck,固定60日（不做結構風險）,hold60,2025,854,-4.067,-6.283,29.16,-19.704
正式鴨嘴新進＋市場改善｜一次買,single_duck,固定60日（不做結構風險）,hold60,2026,584,11.196,-0.984,48.12,-17.419
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70後RS回落5＋結構風險,hot70_rs5,2023,3128,1.098,-0.884,36.09,-3.003
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70後RS回落5＋結構風險,hot70_rs5,2024,1842,0.093,-1.677,27.36,-3.195
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70後RS回落5＋結構風險,hot70_rs5,2025,854,-0.377,-1.904,26.46,-3.489
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70後RS回落5＋結構風險,hot70_rs5,2026,584,2.007,-1.879,28.42,-3.361
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70＋結構風險,heat70,2023,3128,0.797,-0.635,39.55,-1.707
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70＋結構風險,heat70,2024,1842,-0.086,-1.268,33.44,-1.566
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70＋結構風險,heat70,2025,854,-0.645,-1.628,30.56,-2.308
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱70＋結構風險,heat70,2026,584,-0.098,-1.565,31.51,-1.418
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱80＋結構風險,heat80,2023,3128,0.87,-0.744,38.71,-1.91
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱80＋結構風險,heat80,2024,1842,-0.018,-1.352,32.52,-1.76
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱80＋結構風險,heat80,2025,854,-0.652,-1.689,30.09,-2.426
正式鴨嘴新進＋市場改善｜一次買,single_duck,過熱80＋結構風險,heat80,2026,584,0.031,-1.707,29.97,-1.719
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分層獲利管理＋結構風險,tiered,2023,1502,1.656,-0.872,39.01,-3.088
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分層獲利管理＋結構風險,tiered,2024,1136,0.015,-1.41,32.66,-3.371
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分層獲利管理＋結構風險,tiered,2025,667,-0.156,-1.384,28.94,-2.908
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分層獲利管理＋結構風險,tiered,2026,451,1.604,-1.425,34.59,-3.56
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態70/90＋結構風險,dynamic70_90,2023,1502,1.185,-0.786,39.88,-2.082
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,動態70/90＋結構風險,dynamic70_90,2024,1136,-0.009,-1.337,34.33,-2.052
